725.86 254.665 -173.386, 1, 10, 0, 0, 1, 0, 0, 0
599.115 254.665 13.4264, 2, 20, 0, 0, 2, 0, 0, 0
-695.493 254.665 547.996, 2, 20, 1, 0, 2, 1, 0, 0
774.143 254.665 45.0407, 3, 30, 1, 0, 3, 1, 0, 0
825.445 254.665 -136.023, 4, 40, 1, 0, 4, 1, 0, 0
985.385 254.665 142.758, 5, 50, 1, 0, 5, 1, 0, 0
16.692 254.665 -400.434, 6, 60, 1, 0, 6, 1, 0, 0
644.381 254.665 13.4264, 7, 70, 1, 0, 7, 1, 0, 0
587.044 254.665 53.6628, 7, 70, 2, 0, 7, 2, 0, 0
-900.699 254.665 -233.74, 7, 70, 3, 0, 7, 3, 0, 0
590.062 254.665 -6.69187, 8, 80, 3, 0, 8, 3, 0, 0
590.062 254.665 -6.69187, 8, 80, 4, 1, 8, 3, 0, 0
756.037 254.665 -262.481, 9, 90, 4, 1, 9, 3, 0, 0
-375.613 254.665 582.485, 10, 100, 4, 1, 10, 3, 0, 0
-176.443 254.665 717.564, 11, 110, 4, 1, 11, 3, 0, 0
-176.443 254.665 717.564, 12, 120, 4, 1, 12, 3, 0, 0
-523.482 254.665 628.469, 12, 120, 5, 1, 12, 3, 1, 0
-191.532 254.665 760.675, 12, 120, 6, 1, 12, 3, 1, 1
713.789 254.665 -205, 13, 130, 6, 1, 13, 3, 1, 1
